"","X","sixh","country","tweets","igtweets","hoaxsh","date"
"1",1,"2020-01-01","other",40,0,0,"2020-01-01"
"2",2,"2020-01-01","UK",1,0,0,"2020-01-01"
"3",3,"2020-01-01","US",70,0,0,"2020-01-01"
"4",4,"2020-01-02","other",274,0,0,"2020-01-02"
"5",5,"2020-01-02","UK",1,0,0,"2020-01-02"
"6",6,"2020-01-02","US",3,0,0,"2020-01-02"
"7",7,"2020-01-03","other",52,0,0,"2020-01-03"
"8",8,"2020-01-03","UK",1,0,0,"2020-01-03"
"9",9,"2020-01-03","US",14,0,0,"2020-01-03"
"10",10,"2020-01-04","other",152,0,0,"2020-01-04"
"11",11,"2020-01-04","US",17,0,0,"2020-01-04"
"12",12,"2020-01-05","other",173,0,0,"2020-01-05"
"13",13,"2020-01-05","UK",1,0,0,"2020-01-05"
"14",14,"2020-01-05","US",93,0,0,"2020-01-05"
"15",15,"2020-01-06","other",73,0,0,"2020-01-06"
"16",16,"2020-01-06","US",26,0,0,"2020-01-06"
"17",17,"2020-01-07","other",102,0,0,"2020-01-07"
"18",18,"2020-01-07","UK",7,0,0,"2020-01-07"
"19",19,"2020-01-07","US",15,0,0,"2020-01-07"
"20",20,"2020-01-08","other",155,0,0,"2020-01-08"
"21",21,"2020-01-08","UK",16,0,0,"2020-01-08"
"22",22,"2020-01-08","US",6,0,0,"2020-01-08"
"23",23,"2020-01-09","other",142,0,0,"2020-01-09"
"24",24,"2020-01-09","UK",2,0,0,"2020-01-09"
"25",25,"2020-01-09","US",212,0,0,"2020-01-09"
"26",26,"2020-01-10","other",200,0,0,"2020-01-10"
"27",27,"2020-01-10","UK",1,0,0,"2020-01-10"
"28",28,"2020-01-10","US",35,0,0,"2020-01-10"
"29",29,"2020-01-11","other",129,0,0,"2020-01-11"
"30",30,"2020-01-11","UK",1,0,0,"2020-01-11"
"31",31,"2020-01-11","US",51,0,0,"2020-01-11"
"32",32,"2020-01-12","other",121,0,0,"2020-01-12"
"33",33,"2020-01-12","US",5,0,0,"2020-01-12"
"34",34,"2020-01-13","other",159,0,0,"2020-01-13"
"35",35,"2020-01-13","US",6,0,0,"2020-01-13"
"36",36,"2020-01-14","other",127,0,0,"2020-01-14"
"37",37,"2020-01-14","US",56,0,0,"2020-01-14"
"38",38,"2020-01-15","other",176,0,0,"2020-01-15"
"39",39,"2020-01-15","UK",3,0,0,"2020-01-15"
"40",40,"2020-01-15","US",27,0,0,"2020-01-15"
"41",41,"2020-01-16","other",312,0,0,"2020-01-16"
"42",42,"2020-01-16","US",167,0,0,"2020-01-16"
"43",43,"2020-01-17","other",297,0,0,"2020-01-17"
"44",44,"2020-01-17","UK",2,0,0,"2020-01-17"
"45",45,"2020-01-17","US",189,0,0,"2020-01-17"
"46",46,"2020-01-18","other",262,0,0,"2020-01-18"
"47",47,"2020-01-18","UK",4,0,0,"2020-01-18"
"48",48,"2020-01-18","US",17,0,0,"2020-01-18"
"49",49,"2020-01-19","other",178,0,0,"2020-01-19"
"50",50,"2020-01-19","UK",18,0,0,"2020-01-19"
"51",51,"2020-01-19","US",10,0,0,"2020-01-19"
"52",52,"2020-01-20","other",541,0,0,"2020-01-20"
"53",53,"2020-01-20","UK",10,0,0,"2020-01-20"
"54",54,"2020-01-20","US",30,0,0,"2020-01-20"
"55",55,"2020-01-21","other",1191,0,0,"2020-01-21"
"56",56,"2020-01-21","UK",15,0,0,"2020-01-21"
"57",57,"2020-01-21","US",275,0,0,"2020-01-21"
"58",58,"2020-01-22","other",2929,1,0.0341413451689997,"2020-01-22"
"59",59,"2020-01-22","UK",65,0,0,"2020-01-22"
"60",60,"2020-01-22","US",214,0,0,"2020-01-22"
"61",61,"2020-01-23","other",4841,0,0,"2020-01-23"
"62",62,"2020-01-23","UK",108,0,0,"2020-01-23"
"63",63,"2020-01-23","US",498,0,0,"2020-01-23"
"64",64,"2020-01-24","other",5356,0,0,"2020-01-24"
"65",65,"2020-01-24","UK",240,0,0,"2020-01-24"
"66",66,"2020-01-24","US",525,0,0,"2020-01-24"
"67",67,"2020-01-25","other",9049,3,0.0331528345673555,"2020-01-25"
"68",68,"2020-01-25","UK",142,0,0,"2020-01-25"
"69",69,"2020-01-25","US",444,0,0,"2020-01-25"
"70",70,"2020-01-26","other",12513,1,0.00799168864381044,"2020-01-26"
